pmcid,pmid,month,year,title,journal,refs,spm,afni,nilearn,fsl,esearch_url,efetch_url,elink_url,pm_pmc_cnvrt_urls
1800344,17327919,2,2007,A Rapid Sound-Action Association Effect in Human Insular Cortex,PLoS ONE,"[1800344, 6871500, 3717766, 1739042, 270043, 33809, 33808, 24575]",6,0,0,0,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?&db=pubmed&retmax=100000&api_key=c2ebc1367e0e6b4ce473b54a14e381487f08&email=kendra.oudyk@mail.mcgill.ca&tool=methnet&usehistory=y&term=%22functional+neuroimaging%22[mesh]+AND+%28fMRI[Title/Abstract]+OR+%22functional+magnetic+resonance+imaging%22[Title/Abstract]+OR+%22functional+MRI%22[Title/Abstract]%28+AND+music[mesh]+AND+pubmed+pmc+open+access[filter],https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=pmc&id=1800344&api_key=c2ebc1367e0e6b4ce473b54a14e381487f08&email=kendra.oudyk@mail.mcgill.ca&tool=methnet&WebEnv=NCID_1_19482365_130.14.18.48_9001_1591299928_1977614793_0MetA0_S_MegaStore&query_key=1,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/elink.fcgi?&dbfrom=pmc&api_key=c2ebc1367e0e6b4ce473b54a14e381487f08&email=kendra.oudyk@mail.mcgill.ca&tool=methnet&linkname=pmc_pmc_cites&id=1800344,"['https://www.ncbi.nlm.nih.gov/pmc/utils/idconv/v1.0/?api_key=c2ebc1367e0e6b4ce473b54a14e381487f08&tool=methnet&email=kendra.oudyk@mail.mcgill.ca&ids=31993668,31658945,31182868,30892654,30452442,30375107,30169831,29491454,29480872,29467495,29385142,29335643,29213104,29089542,29025134,28900231,28720776,28422990,27835631,27284693,27195523,26900566,26725925,26536026,26504353,26203921,25773639,25773627,25613599,25478236,25060169,24937544,24714661,24586366,24581119,24475030,24069414,23585888,23166768,23155479,22989579,22586478,22499797,22110623,22110619,21559468,21392373,20957158,20829245,20567521,19725935,19712445,19240137,18509462,18301756,17375193,17327919']"
1819558,17375193,3,2007,Response Properties of Human Amygdala Subregions: Evidence Based on Functional MRI Combined with Probabilistic Anatomical Maps,PLoS ONE,"[1819558, 6872005, 6871371, 6782219, 6725588, 6575825, 58814]",5,0,0,0,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?&db=pubmed&retmax=100000&api_key=c2ebc1367e0e6b4ce473b54a14e381487f08&email=kendra.oudyk@mail.mcgill.ca&tool=methnet&usehistory=y&term=%22functional+neuroimaging%22[mesh]+AND+%28fMRI[Title/Abstract]+OR+%22functional+magnetic+resonance+imaging%22[Title/Abstract]+OR+%22functional+MRI%22[Title/Abstract]%28+AND+music[mesh]+AND+pubmed+pmc+open+access[filter],https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=pmc&id=1819558&api_key=c2ebc1367e0e6b4ce473b54a14e381487f08&email=kendra.oudyk@mail.mcgill.ca&tool=methnet&WebEnv=NCID_1_19482365_130.14.18.48_9001_1591299928_1977614793_0MetA0_S_MegaStore&query_key=1,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/elink.fcgi?&dbfrom=pmc&api_key=c2ebc1367e0e6b4ce473b54a14e381487f08&email=kendra.oudyk@mail.mcgill.ca&tool=methnet&linkname=pmc_pmc_cites&id=1819558,"['https://www.ncbi.nlm.nih.gov/pmc/utils/idconv/v1.0/?api_key=c2ebc1367e0e6b4ce473b54a14e381487f08&tool=methnet&email=kendra.oudyk@mail.mcgill.ca&ids=31993668,31658945,31182868,30892654,30452442,30375107,30169831,29491454,29480872,29467495,29385142,29335643,29213104,29089542,29025134,28900231,28720776,28422990,27835631,27284693,27195523,26900566,26725925,26536026,26504353,26203921,25773639,25773627,25613599,25478236,25060169,24937544,24714661,24586366,24581119,24475030,24069414,23585888,23166768,23155479,22989579,22586478,22499797,22110623,22110619,21559468,21392373,20957158,20829245,20567521,19725935,19712445,19240137,18509462,18301756,17375193,17327919']"
2244806,18301756,2,2008,Neural Substrates of Spontaneous Musical Performance: An fMRI Study of Jazz Improvisation,PLoS ONE,"[2244806, 6871371, 58814, 19714]",4,0,0,0,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?&db=pubmed&retmax=100000&api_key=c2ebc1367e0e6b4ce473b54a14e381487f08&email=kendra.oudyk@mail.mcgill.ca&tool=methnet&usehistory=y&term=%22functional+neuroimaging%22[mesh]+AND+%28fMRI[Title/Abstract]+OR+%22functional+magnetic+resonance+imaging%22[Title/Abstract]+OR+%22functional+MRI%22[Title/Abstract]%28+AND+music[mesh]+AND+pubmed+pmc+open+access[filter],https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=pmc&id=2244806&api_key=c2ebc1367e0e6b4ce473b54a14e381487f08&email=kendra.oudyk@mail.mcgill.ca&tool=methnet&WebEnv=NCID_1_19482365_130.14.18.48_9001_1591299928_1977614793_0MetA0_S_MegaStore&query_key=1,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/elink.fcgi?&dbfrom=pmc&api_key=c2ebc1367e0e6b4ce473b54a14e381487f08&email=kendra.oudyk@mail.mcgill.ca&tool=methnet&linkname=pmc_pmc_cites&id=2244806,"['https://www.ncbi.nlm.nih.gov/pmc/utils/idconv/v1.0/?api_key=c2ebc1367e0e6b4ce473b54a14e381487f08&tool=methnet&email=kendra.oudyk@mail.mcgill.ca&ids=31993668,31658945,31182868,30892654,30452442,30375107,30169831,29491454,29480872,29467495,29385142,29335643,29213104,29089542,29025134,28900231,28720776,28422990,27835631,27284693,27195523,26900566,26725925,26536026,26504353,26203921,25773639,25773627,25613599,25478236,25060169,24937544,24714661,24586366,24581119,24475030,24069414,23585888,23166768,23155479,22989579,22586478,22499797,22110623,22110619,21559468,21392373,20957158,20829245,20567521,19725935,19712445,19240137,18509462,18301756,17375193,17327919']"
2386151,18509462,5,2008,Brain Networks for Integrative Rhythm Formation,PLoS ONE,"[2386151, 6792777, 6782473, 6774169, 6762864, 6741271, 6741165, 6740811, 1905817, 49355]",3,0,0,0,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?&db=pubmed&retmax=100000&api_key=c2ebc1367e0e6b4ce473b54a14e381487f08&email=kendra.oudyk@mail.mcgill.ca&tool=methnet&usehistory=y&term=%22functional+neuroimaging%22[mesh]+AND+%28fMRI[Title/Abstract]+OR+%22functional+magnetic+resonance+imaging%22[Title/Abstract]+OR+%22functional+MRI%22[Title/Abstract]%28+AND+music[mesh]+AND+pubmed+pmc+open+access[filter],https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=pmc&id=2386151&api_key=c2ebc1367e0e6b4ce473b54a14e381487f08&email=kendra.oudyk@mail.mcgill.ca&tool=methnet&WebEnv=NCID_1_19482365_130.14.18.48_9001_1591299928_1977614793_0MetA0_S_MegaStore&query_key=1,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/elink.fcgi?&dbfrom=pmc&api_key=c2ebc1367e0e6b4ce473b54a14e381487f08&email=kendra.oudyk@mail.mcgill.ca&tool=methnet&linkname=pmc_pmc_cites&id=2386151,"['https://www.ncbi.nlm.nih.gov/pmc/utils/idconv/v1.0/?api_key=c2ebc1367e0e6b4ce473b54a14e381487f08&tool=methnet&email=kendra.oudyk@mail.mcgill.ca&ids=31993668,31658945,31182868,30892654,30452442,30375107,30169831,29491454,29480872,29467495,29385142,29335643,29213104,29089542,29025134,28900231,28720776,28422990,27835631,27284693,27195523,26900566,26725925,26536026,26504353,26203921,25773639,25773627,25613599,25478236,25060169,24937544,24714661,24586366,24581119,24475030,24069414,23585888,23166768,23155479,22989579,22586478,22499797,22110623,22110619,21559468,21392373,20957158,20829245,20567521,19725935,19712445,19240137,18509462,18301756,17375193,17327919']"
2758676,19240137,11,2009,The Neural Architecture of Music-Evoked Autobiographical Memories,"Cerebral Cortex (New York, NY)","[2758676, 6871371, 6741905, 1995661, 1973156, 1157105, 1088527, 58814, 27159]",9,0,0,0,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?&db=pubmed&retmax=100000&api_key=c2ebc1367e0e6b4ce473b54a14e381487f08&email=kendra.oudyk@mail.mcgill.ca&tool=methnet&usehistory=y&term=%22functional+neuroimaging%22[mesh]+AND+%28fMRI[Title/Abstract]+OR+%22functional+magnetic+resonance+imaging%22[Title/Abstract]+OR+%22functional+MRI%22[Title/Abstract]%28+AND+music[mesh]+AND+pubmed+pmc+open+access[filter],https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=pmc&id=2758676&api_key=c2ebc1367e0e6b4ce473b54a14e381487f08&email=kendra.oudyk@mail.mcgill.ca&tool=methnet&WebEnv=NCID_1_19482365_130.14.18.48_9001_1591299928_1977614793_0MetA0_S_MegaStore&query_key=1,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/elink.fcgi?&dbfrom=pmc&api_key=c2ebc1367e0e6b4ce473b54a14e381487f08&email=kendra.oudyk@mail.mcgill.ca&tool=methnet&linkname=pmc_pmc_cites&id=2758676,"['https://www.ncbi.nlm.nih.gov/pmc/utils/idconv/v1.0/?api_key=c2ebc1367e0e6b4ce473b54a14e381487f08&tool=methnet&email=kendra.oudyk@mail.mcgill.ca&ids=31993668,31658945,31182868,30892654,30452442,30375107,30169831,29491454,29480872,29467495,29385142,29335643,29213104,29089542,29025134,28900231,28720776,28422990,27835631,27284693,27195523,26900566,26725925,26536026,26504353,26203921,25773639,25773627,25613599,25478236,25060169,24937544,24714661,24586366,24581119,24475030,24069414,23585888,23166768,23155479,22989579,22586478,22499797,22110623,22110619,21559468,21392373,20957158,20829245,20567521,19725935,19712445,19240137,18509462,18301756,17375193,17327919']"
2749857,19712445,8,2009,Perceiving pitch absolutely: Comparing absolute and relative pitch possessors in a pitch memory task,BMC Neuroscience,"[2749857, 6873323, 6872109, 6871682, 6871450, 6871123, 6792554, 6725257, 6672064, 6577137, 3005564, 2638817, 187755, 34351, 19714]",3,0,0,0,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?&db=pubmed&retmax=100000&api_key=c2ebc1367e0e6b4ce473b54a14e381487f08&email=kendra.oudyk@mail.mcgill.ca&tool=methnet&usehistory=y&term=%22functional+neuroimaging%22[mesh]+AND+%28fMRI[Title/Abstract]+OR+%22functional+magnetic+resonance+imaging%22[Title/Abstract]+OR+%22functional+MRI%22[Title/Abstract]%28+AND+music[mesh]+AND+pubmed+pmc+open+access[filter],https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=pmc&id=2749857&api_key=c2ebc1367e0e6b4ce473b54a14e381487f08&email=kendra.oudyk@mail.mcgill.ca&tool=methnet&WebEnv=NCID_1_19482365_130.14.18.48_9001_1591299928_1977614793_0MetA0_S_MegaStore&query_key=1,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/elink.fcgi?&dbfrom=pmc&api_key=c2ebc1367e0e6b4ce473b54a14e381487f08&email=kendra.oudyk@mail.mcgill.ca&tool=methnet&linkname=pmc_pmc_cites&id=2749857,"['https://www.ncbi.nlm.nih.gov/pmc/utils/idconv/v1.0/?api_key=c2ebc1367e0e6b4ce473b54a14e381487f08&tool=methnet&email=kendra.oudyk@mail.mcgill.ca&ids=31993668,31658945,31182868,30892654,30452442,30375107,30169831,29491454,29480872,29467495,29385142,29335643,29213104,29089542,29025134,28900231,28720776,28422990,27835631,27284693,27195523,26900566,26725925,26536026,26504353,26203921,25773639,25773627,25613599,25478236,25060169,24937544,24714661,24586366,24581119,24475030,24069414,23585888,23166768,23155479,22989579,22586478,22499797,22110623,22110619,21559468,21392373,20957158,20829245,20567521,19725935,19712445,19240137,18509462,18301756,17375193,17327919']"
2776913,19725935,8,2009,The absolute pitch mind continues to reveal itself,Journal of Biology,"[2776913, 6725257, 2749857, 19714]",0,0,0,0,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?&db=pubmed&retmax=100000&api_key=c2ebc1367e0e6b4ce473b54a14e381487f08&email=kendra.oudyk@mail.mcgill.ca&tool=methnet&usehistory=y&term=%22functional+neuroimaging%22[mesh]+AND+%28fMRI[Title/Abstract]+OR+%22functional+magnetic+resonance+imaging%22[Title/Abstract]+OR+%22functional+MRI%22[Title/Abstract]%28+AND+music[mesh]+AND+pubmed+pmc+open+access[filter],https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=pmc&id=2776913&api_key=c2ebc1367e0e6b4ce473b54a14e381487f08&email=kendra.oudyk@mail.mcgill.ca&tool=methnet&WebEnv=NCID_1_19482365_130.14.18.48_9001_1591299928_1977614793_0MetA0_S_MegaStore&query_key=1,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/elink.fcgi?&dbfrom=pmc&api_key=c2ebc1367e0e6b4ce473b54a14e381487f08&email=kendra.oudyk@mail.mcgill.ca&tool=methnet&linkname=pmc_pmc_cites&id=2776913,"['https://www.ncbi.nlm.nih.gov/pmc/utils/idconv/v1.0/?api_key=c2ebc1367e0e6b4ce473b54a14e381487f08&tool=methnet&email=kendra.oudyk@mail.mcgill.ca&ids=31993668,31658945,31182868,30892654,30452442,30375107,30169831,29491454,29480872,29467495,29385142,29335643,29213104,29089542,29025134,28900231,28720776,28422990,27835631,27284693,27195523,26900566,26725925,26536026,26504353,26203921,25773639,25773627,25613599,25478236,25060169,24937544,24714661,24586366,24581119,24475030,24069414,23585888,23166768,23155479,22989579,22586478,22499797,22110623,22110619,21559468,21392373,20957158,20829245,20567521,19725935,19712445,19240137,18509462,18301756,17375193,17327919']"
2887372,20567521,6,2010,Vocal Accuracy and Neural Plasticity Following Micromelody-Discrimination Training,PLoS ONE,"[2887372, 6672064, 6577137, 6568599, 2888503, 2538333, 1800344, 1088516, 270043, 187755]",1,2,0,0,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?&db=pubmed&retmax=100000&api_key=c2ebc1367e0e6b4ce473b54a14e381487f08&email=kendra.oudyk@mail.mcgill.ca&tool=methnet&usehistory=y&term=%22functional+neuroimaging%22[mesh]+AND+%28fMRI[Title/Abstract]+OR+%22functional+magnetic+resonance+imaging%22[Title/Abstract]+OR+%22functional+MRI%22[Title/Abstract]%28+AND+music[mesh]+AND+pubmed+pmc+open+access[filter],https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=pmc&id=2887372&api_key=c2ebc1367e0e6b4ce473b54a14e381487f08&email=kendra.oudyk@mail.mcgill.ca&tool=methnet&WebEnv=NCID_1_19482365_130.14.18.48_9001_1591299928_1977614793_0MetA0_S_MegaStore&query_key=1,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/elink.fcgi?&dbfrom=pmc&api_key=c2ebc1367e0e6b4ce473b54a14e381487f08&email=kendra.oudyk@mail.mcgill.ca&tool=methnet&linkname=pmc_pmc_cites&id=2887372,"['https://www.ncbi.nlm.nih.gov/pmc/utils/idconv/v1.0/?api_key=c2ebc1367e0e6b4ce473b54a14e381487f08&tool=methnet&email=kendra.oudyk@mail.mcgill.ca&ids=31993668,31658945,31182868,30892654,30452442,30375107,30169831,29491454,29480872,29467495,29385142,29335643,29213104,29089542,29025134,28900231,28720776,28422990,27835631,27284693,27195523,26900566,26725925,26536026,26504353,26203921,25773639,25773627,25613599,25478236,25060169,24937544,24714661,24586366,24581119,24475030,24069414,23585888,23166768,23155479,22989579,22586478,22499797,22110623,22110619,21559468,21392373,20957158,20829245,20567521,19725935,19712445,19240137,18509462,18301756,17375193,17327919']"
3059891,20829245,4,2011,Auditory-Motor Expertise Alters “Speech Selectivity” in Professional Musicians and Actors,"Cerebral Cortex (New York, NY)","[3059891, 6871237, 6871123, 6871028, 6870868, 6740845, 6674383, 6672064, 6670606, 6577137, 6573547, 4238059, 3350814, 2892726, 2766833, 2758686, 2747609, 2677654, 2527992, 2376093]",4,0,0,0,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?&db=pubmed&retmax=100000&api_key=c2ebc1367e0e6b4ce473b54a14e381487f08&email=kendra.oudyk@mail.mcgill.ca&tool=methnet&usehistory=y&term=%22functional+neuroimaging%22[mesh]+AND+%28fMRI[Title/Abstract]+OR+%22functional+magnetic+resonance+imaging%22[Title/Abstract]+OR+%22functional+MRI%22[Title/Abstract]%28+AND+music[mesh]+AND+pubmed+pmc+open+access[filter],https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=pmc&id=3059891&api_key=c2ebc1367e0e6b4ce473b54a14e381487f08&email=kendra.oudyk@mail.mcgill.ca&tool=methnet&WebEnv=NCID_1_19482365_130.14.18.48_9001_1591299928_1977614793_0MetA0_S_MegaStore&query_key=1,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/elink.fcgi?&dbfrom=pmc&api_key=c2ebc1367e0e6b4ce473b54a14e381487f08&email=kendra.oudyk@mail.mcgill.ca&tool=methnet&linkname=pmc_pmc_cites&id=3059891,"['https://www.ncbi.nlm.nih.gov/pmc/utils/idconv/v1.0/?api_key=c2ebc1367e0e6b4ce473b54a14e381487f08&tool=methnet&email=kendra.oudyk@mail.mcgill.ca&ids=31993668,31658945,31182868,30892654,30452442,30375107,30169831,29491454,29480872,29467495,29385142,29335643,29213104,29089542,29025134,28900231,28720776,28422990,27835631,27284693,27195523,26900566,26725925,26536026,26504353,26203921,25773639,25773627,25613599,25478236,25060169,24937544,24714661,24586366,24581119,24475030,24069414,23585888,23166768,23155479,22989579,22586478,22499797,22110623,22110619,21559468,21392373,20957158,20829245,20567521,19725935,19712445,19240137,18509462,18301756,17375193,17327919']"
2950159,20957158,10,2010,When Music and Long-Term Memory Interact: Effects of Musical Expertise on Functional and Structural Plasticity in the Hippocampus,PLoS ONE,"[2950159, 6740845, 6666603, 4952935, 3842475, 3021536, 2996392, 2758676, 2698464, 2482601, 2064941, 1994117, 19714, 18253]",4,0,0,0,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?&db=pubmed&retmax=100000&api_key=c2ebc1367e0e6b4ce473b54a14e381487f08&email=kendra.oudyk@mail.mcgill.ca&tool=methnet&usehistory=y&term=%22functional+neuroimaging%22[mesh]+AND+%28fMRI[Title/Abstract]+OR+%22functional+magnetic+resonance+imaging%22[Title/Abstract]+OR+%22functional+MRI%22[Title/Abstract]%28+AND+music[mesh]+AND+pubmed+pmc+open+access[filter],https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=pmc&id=2950159&api_key=c2ebc1367e0e6b4ce473b54a14e381487f08&email=kendra.oudyk@mail.mcgill.ca&tool=methnet&WebEnv=NCID_1_19482365_130.14.18.48_9001_1591299928_1977614793_0MetA0_S_MegaStore&query_key=1,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/elink.fcgi?&dbfrom=pmc&api_key=c2ebc1367e0e6b4ce473b54a14e381487f08&email=kendra.oudyk@mail.mcgill.ca&tool=methnet&linkname=pmc_pmc_cites&id=2950159,"['https://www.ncbi.nlm.nih.gov/pmc/utils/idconv/v1.0/?api_key=c2ebc1367e0e6b4ce473b54a14e381487f08&tool=methnet&email=kendra.oudyk@mail.mcgill.ca&ids=31993668,31658945,31182868,30892654,30452442,30375107,30169831,29491454,29480872,29467495,29385142,29335643,29213104,29089542,29025134,28900231,28720776,28422990,27835631,27284693,27195523,26900566,26725925,26536026,26504353,26203921,25773639,25773627,25613599,25478236,25060169,24937544,24714661,24586366,24581119,24475030,24069414,23585888,23166768,23155479,22989579,22586478,22499797,22110623,22110619,21559468,21392373,20957158,20829245,20567521,19725935,19712445,19240137,18509462,18301756,17375193,17327919']"
